INSTANCE_ACCOUNT_ID,INSTANCE_ACCOUNT_SUBDOMAIN,INSTANCE_ACCOUNT_POD_ID,SUBSCRIPTION_RATE_LIMIT,TICKETS_UPDATE_LIMIT,PER_TICKET_UPDATES_LIMIT,INFLIGHT_JOBS_LIMIT,INCREMENTAL_EXPORTS_LIMIT,SUBSCRIPTION_RATE_USED,TICKETS_UPDATE_USED,ERRORS_429_COUNT
810911,ensignhr,pod19,2500,,,,,2,,0
20156377,pdi-studiowinegum,pod18,2500,,,,,1,,0
12300132,chrono24,pod28,2500,300,30,,,466,5,0
84409,yextops,pod27,2500,300,30,,,1,1,0
19889056,inrepdistrict51-r,pod19,2500,,,,,121,,0
13228410,people-snap,pod13,2500,,,,,5,,0
1880482,t-mobile9842,pod20,2500,,,,,51,,0
15368475,okhorplaceholder12,pod27,2500,,,,,62,,0
21745276,liaisongroupsupport,pod31,2500,,,,30,2,,0
2298875,bgrs,pod13,2500,300,30,,30,677,13,1
2032535,ppecolleaguehelp,pod18,2500,,30,,,27,,0
10592965,mirepglenn,pod19,2500,,,60,,268,,0
13174753,okrepgann,pod20,2500,,,,,62,,0
25965535,holman47651764756001,pod17,2500,,,,,8,,0
15765713,mirepneyer,pod27,2500,,,30,,266,,0
9994110,memberservicesmountsinai,pod23,2500,,,30,,1,,0
17103497,nc-sen-dean-proctor,pod13,2500,,,30,,204,,0
10896161,rocketnow,pod25,5000,300,30,,30,407,123,0
19756879,pahousedemsdistrict3,pod20,2500,,,,,96,,0
24032168,con-kingachrapisinska,pod29,2500,,,,,16,,0
10198128,tescocustomerengagementcentre,pod25,2500,300,30,,,404,49,0
21319465,vikingcloudsupport,pod18,2500,300,30,,30,56,7,0
280129,4mobile,pod27,2500,,,,,426,,0
11567300,flrepmcfarland,pod23,2500,,,30,,192,,0
1919391,poco-kundendienst,pod18,2500,,,,,18,,0
11345649,umjcs,pod19,2500,,,,,8,,0
25888768,lmit1762335246,pod28,2500,,,,,1,,0
19371626,sandiegoca-mayor,pod20,2500,,,30,,321,,0
15750143,repdonbacon,pod27,2500,,,,,404,,0
17639224,con-bcrcx-gabriel,pod20,2500,,,30,,11,,0
10414789,cxsenior,pod20,2500,300,30,,,144,8,0
10981878,rephorsford,pod19,2500,300,30,30,,533,1,0
15744894,mnsengop,pod13,2500,,,,,82,,0
15081815,repandykim,pod27,2500,,,,,404,,0
10188048,d3v-pipedreams,pod19,2500,,,,,1,,0
12807713,z4nblambert,pod13,2500,,,,,2,,0
10245504,repdiazbalart,pod19,2500,300,30,30,,898,2,0
11567237,flrepcaruso,pod23,2500,,,30,,186,,0
20707586,thd-dmo,pod27,2500,,,,,1,,0
10722143,mireppavlov,pod19,2500,,,30,,283,,0
16256189,mdsenbenjaminbrooks,pod20,2500,,,,,134,,0
18896427,lmpt1697622547,pod17,2500,,,,,1,,0
17103254,newmexicogovernor,pod13,2500,300,30,,,198,29,0
9462741,dlp,pod18,2500,300,30,50,30,1166,4,0
10060526,dynatrace,pod23,2500,,,,,29,,0
9195232,booking-zen-11,pod17,2500,,,,,34,,0
10618767,mirepkoleszar,pod13,2500,,,,,259,,0
15547250,pasencoleman,pod27,2500,,,,,56,,0
10577787,sunkingpaygozm,pod29,2500,300,30,,30,10,2,0
2217715,levihelp,pod17,2500,,,30,,4,,0
20195372,pahousedemsdistrict152,pod19,2500,,,,,122,,0
21851623,pdi-alboz,pod28,2500,,,,,3,,0
22323806,pdi-kundelabas,pod28,2500,,,,,2,,0
15968676,suportepicpaypj1672263502,pod27,2500,,,,,1,,0
11248926,githubsecurity1628795289,pod27,2500,,,,,9,,0
19375622,con-synergyes-helpdesk,pod15,2500,,,,,3,,0
170270,takealot,pod28,2500,1500,30,,30,2388,1,1
10679864,ab-inbevmx,pod20,2500,300,30,,30,325,9,0
14988463,montgomerycountymd-council-albornoz,pod27,2500,,,30,,116,,0
11184455,con-rzanetti-aktienow,pod20,2500,,,,,1,,0
18617321,istase-int,pod28,2500,,,,,8,,0
489599,justeatukpoc,pod29,2500,600,30,30,30,1118,506,5
9391089,aboutyou,pod28,2500,300,30,,,12,4,0
16256234,mddelboblong,pod20,2500,,,,,72,,0
14426656,justeat,pod29,4000,,,,,1,,0
15765642,mirepfarhat,pod23,2500,,,30,,378,,0
17938398,geniussportscx,pod28,2500,300,30,,,215,215,0
22447073,conpresheep1728378620,pod15,2500,,,,,0,,0
230122,granitor,pod18,2500,,,,,9,,0
13166027,okrepdempsey,pod20,2500,,,,,62,,0
11567334,flrepdavidsmith,pod23,2500,,,,,196,,0
19278730,atendimentohgbrasil,pod19,2500,300,30,,,1191,41,0
10386888,nuco1604618331,pod19,2500,,,,,3,,0
13781360,mnsenrosen,pod20,2500,,,,,81,,0
9624314,melio,pod28,2500,300,30,,30,179,3,0
19352641,district4bosplacer,pod19,2500,,,30,,49,,0
11307272,misenalexander,pod19,2500,,,,,296,,0
603258,justeatie,pod17,2500,300,30,30,30,362,18,4
19546635,indigov-playground4,pod20,2500,,,,,268,,0
11130634,ingrammicroemeasupport,pod29,2500,300,30,,,272,268,0
11717668,pdi3cl3ctdemo1637542137,pod15,2500,,,,,1,,0
1205261,deliveroofinance,pod17,2500,,,,,1,,0
17103549,nc-sen-natalie-murdock,pod23,2500,,,,,203,,0
2087942,thd-delivery,pod23,2500,300,30,,,2,3,0
10722150,mirepcalley,pod13,2500,,,30,,143,,0
13471629,personifyhealth,pod27,2500,300,30,30,30,777,27,0
14114057,pennymaccdl1656096490,pod27,2500,100,30,,30,9,1,0
26671159,eclect-35387,pod30,2500,,,,,1,,0
23336932,repjohnmcguire,pod19,2500,300,30,30,,405,2,0
17350601,memberservicesmountsinai1684208845,pod23,2500,,,,,0,,0
11567318,flreprizo,pod27,2500,,,,,186,,0
20195373,pahousedemsdistrict153,pod20,2500,,,30,,178,,0
126563,dibs,pod18,2500,,,,,1,,0
11874142,logitech1640183673,pod23,5000,,,,30,26,,0
1880852,con-trees,pod25,2500,300,30,,30,221,1,0
9668640,pdi-scx,pod25,2500,,,,30,4,,0
13174488,okrepmartinez,pod27,2500,,,30,,84,,0
20670217,vidaxlservicesprivatelimited,pod17,2500,300,30,,30,293,47,6
10853231,sfsus,pod27,2500,,,,,3,,0
24879154,pcom1744991297,pod20,2500,,,,,3,,0
122906,rover,pod20,2500,300,30,30,30,1791,281,0
25762705,reperiohealth1758564002,pod19,2500,,,,,2,,0
15765657,mireparbit,pod23,2500,,,30,,402,,0
16256358,mddelstephaniesmith,pod23,2500,,,,,70,,0
17103442,nc-rep-renee-price,pod23,2500,,,,,161,,0
1371123,nmtest,pod19,2500,100,30,,30,35,9,0
2410151,rossvideo,pod27,2500,300,30,,,128,5,0
